ID,Forename,Surname,ImageURL
1,Arsène,WENGER,https://cdn.soccerwiki.org/images/manager/1.jpg
2,Martin,O'NEILL,https://cdn.soccerwiki.org/images/manager/2_1337587206.jpg
4,Alex,MCLEISH,https://cdn.soccerwiki.org/images/manager/4.jpg
5,Sam,ALLARDYCE,https://cdn.soccerwiki.org/images/manager/5.png
6,Ian,HOLLOWAY,https://cdn.soccerwiki.org/images/manager/6_1337116640.jpg
7,Owen,COYLE,https://cdn.soccerwiki.org/images/manager/7.jpg
8,Paul,HURST,https://cdn.soccerwiki.org/images/manager/8_1358142071.jpg
9,Eddie,HOWE,https://cdn.soccerwiki.org/images/manager/9.png
11,Andy,SCOTT,https://cdn.soccerwiki.org/images/manager/11_1348004499.jpg
12,Gustavo,POYET,https://cdn.soccerwiki.org/images/manager/12.jpg
16,Alan,KNILL,https://cdn.soccerwiki.org/images/manager/16.jpg
17,Martin,LING,https://cdn.soccerwiki.org/images/manager/17_1343663526.jpg
20,Phil,PARKINSON,https://cdn.soccerwiki.org/images/manager/20_1328000403.jpg
21,Carlo,ANCELOTTI,https://cdn.soccerwiki.org/images/manager/21.png
22,Martin,ALLEN,https://cdn.soccerwiki.org/images/manager/22.jpg
23,John,SHERIDAN,https://cdn.soccerwiki.org/images/manager/23_1298148572.jpg
24,Aidy,BOOTHROYD,https://cdn.soccerwiki.org/images/manager/24_1274557746.jpg
25,Chris,COLEMAN,https://cdn.soccerwiki.org/images/manager/25.jpg
26,Dario,GRADI,
27,Neil,WARNOCK,https://cdn.soccerwiki.org/images/manager/27.jpg
29,Alan,ADAMSON,https://cdn.soccerwiki.org/images/manager/29_1313616765.jpg
30,Sean,O'DRISCOLL,https://cdn.soccerwiki.org/images/manager/30_1311585517.jpg
31,David,MOYES,https://cdn.soccerwiki.org/images/manager/31.png
32,Roy,HODGSON,https://cdn.soccerwiki.org/images/manager/32.png
34,Neil,WOODS,
35,Chris,TURNER,https://cdn.soccerwiki.org/images/manager/35_1279640807.jpg
36,Lee,CLARK,https://cdn.soccerwiki.org/images/manager/36.jpg
