ID,Name
1,Emirates Stadium
2,Villa Park
3,St Andrews
4,Ewood Park
5,Toughsheet Community Stadium
6,The Valley
7,Stamford Bridge
9,Craven Cottage
10,Elland Road
11,King Power Stadium
12,Anfield
13,Etihad Stadium
14,Old Trafford
15,Riverside Stadium
16,St James' Park
17,Fratton Park
18,St Mary's Stadium
20,Molineux
21,Valley Parade
22,Turf Moor
23,Cardiff City Stadium
24,Ricoh Arena
25,Gresty Road
26,Selhurst Park
27,Pride Park
28,Priestfield
29,Portman Road
30,The Den
31,Carrow Road
32,The City Ground
33,Deepdale
34,Madejski
36,Bramall Lane
37,Britannia Stadium
38,Stadium of Light
39,Banks's Stadium
40,Vicarage Road
43,Stadium MK
44,Oakwell 
45,Bloomfield Road
49,Ashton Gate
50,Recreation Ground
51,Colchester Community Stadium
52,Blundell Park
53,Victoria Park
54,Kenilworth Road
55,Meadow Lane
56,Boundary Park
57,London Road Stadium
58,Home Park
59,Vale Park
60,Loftus Road
61,Nene Park
62,Hillsborough
63,Edgeley Park
64,County Ground
65,Prenton Park
66,Racecourse Ground
67,Adams Park
68,York Street
69,The Memorial Stadium
70,Gigg Lane
71,Abbey Stadium
72,Brunton Park
73,Whaddon Road
75,Keepmoat Stadium 
76,John Smith's Stadium
77,KCOM Stadium
78,Aggborough
79,Brisbane Road
80,Sincil Bank
81,Moss Rose
82,Field Mill
83,Sixfields Stadium
84,Kassam Stadium
85,Spotland
86,Glanford Park
87,Roots Hall
88,Liberty Stadium
89,Plainmoor
90,Huish Park
92,The Hawthorns
93,Atleti Azzurri d'Italia
94,Renato Dall'Ara
95,Mario Rigamonti
97,Marcantonio Bentegodi
98,Artemio Franchi
99,Giuseppe Meazza
101,Stadio Olimpico
102,Via Del Mare
103,Armando Picchi
104,	Stadio San Filippo
106,Renzo Barbera
107,Ennio Tardini
108,Oreste Granillo
110,Luigi Ferraris
111,Artemio Franchi
112,Friuli
113,Atleti Azzurri d'Italia
114,Comunale Città di Arezzo
115,Cino e Lillo del Duca
116,San Nicola
117,Angelo Massimino
118,Nicola Ceravolo
119,Stadio Dino Manuzzi
120,Ezio Scida
121,Carlo Castellani
122,Luigi Ferraris
123,Alberto Braglia
124,Renato Curi
125,Adriatico
126,Leonardo Garilli
127,Stadio Arechi
128,Libero Liberati
129,Omobono Tenni
130,Nereo Rocco
131,Pierluigi Penzo
132,Marcantonio Bentegodi
133,Romeo Menti
135,Camp Nou
136,RCDE Stadium
137,Coliseum Alfonso Pérez
138,Ciutat de Valencia
139,Visit Mallorca Estadi
140,La Rosaleda
141,Nuevo Los Pajaritos
142,El Sadar
143,El Sardinero
144,Estadio Benito Villamarín
145,Santiago Bernabéu
146,Anoeta
147,Ramón Sánchez Pizjuán
148,Mestalla
150,Estadio de la Cerámica
151,La Romareda
152,Mendizorroza
153,Estadio del Mediterráneo
154,Balaídos
155,La Condomina
156,Nuevo Mirandilla
157,Nuevo Arcángel
158,Ipurúa Municipal Stadium
159,Martínez Valero
160,Nou Estadi
161,Camp d'Esports
162,Santo Domingo
163,Pasarón
164,Estadio de la Malata
165,Nueva Condomina
166,Nuevo Colombino
167,Helmántico
168,El Molinón
169,Heliodoro Rodríguez López
170,Olímpic de Terrassa
171,Nuevo José Zorrilla
172,Nuevo Chapín
173,Carlos Belmonte
174,Riazor
175,Cars Jeans Stadion
177,Johan Cruyff Arena
178,De Vliert
179,Euroborg
180,De Grolsch Veste
181,Stadion Galgenwaard
182,De Kuip
183,Rat Verlegh Stadion
184,Goffertstadion
185,Philips Stadion
186,RBC Stadion
187,Mandemakers Stadion
188,Parkstad Limburg Stadion
189,Abe Lenstra Stadion
190,Gelredome
191,Koning Willem II Stadion
192,De Vijverberg
193,Sportpark Berg en Bos
194,Cambuur Stadion
195,Jan Louwers Stadion
196,De Oude Meerdijk
197,Van Donge & De Roo Stadion
198,GN Bouw Stadion
200,MAC³PARK Stadion
201,Fortuna Sittard Stadion
202,Adelaarshorst
203,Haarlem Stadion
204,SolarUnie Stadion
205,Erve Asito
206,De Geusselt
207,Het Kasteel
208,Frans Heesen Stadion
209,Tata Steel Stadion
210,De Koel
211,De Langeleegte
212,Estádio Cidade de Coimbra
213,Municipal de Aveiro
214,Estádio do Restelo
215,Estadio da Luz
216,Estádio do Bessa
217,Antònio Coimbra da Mota
218,Estádio do Dragão
219,Estadio Cidade de Barcelos
220,Estádio do Marítimo
221,Comendador Joaquim de Almeida Freitas
222,25 de Abril
223,Estádio dos Arcos
224,Estádio da Madeira
225,Estádio Municipal de Braga
226,Estádio José Alvalade
228,D. Afonso Henriques
229,Estádio do Bonfim
230,Complexo Desportivo
231,Clube Desportivo das Aves
232,Municipal Eng. Manuel Branco Teixeira
233,Estádio José Gomes
234,Marcolino de Castro
235,Dr.Machado de Matos
236,Estádio de São Miguel
237,Estádio do Mar
238,José Vieira
239,Estádio Municipal Marco de Canaveses
240,Municipal José Bento Pessoa
241,José Arcanjo
242,Marques da Silva
243,Estádio Capital do Móvel
244,Estádio Municipal de Portimão
245,São Miguel
247,Comendador Manuel Violas
248,Estádio dos Barreiros
249,Estádio do Varzim SC
250,Republican Spartak
251,Zvezda
256,Olimp-2
258,Saturn
259,Shinnik
261,Petrovskiy
262,Almagro
263,Diego Armando Maradona
264,Julio Humberto Grondona
265,Florencio Sola
266,La Bombonera
267,Estanislao López
268,Jorge Luis Hirschi
269,23 de Agosto
270,Tomás Adolfo Ducó
272,Juan Domingo Perón
273,La Fortaleza
274,Marcelo Bielsa
275,Roberto Natalio Carminatti
276,Centenario
277,Juan Domingo Perón
278,Estadio Monumental
279,Gigante de Arroyito
280,Nuevo Gasómetro
281,José Amalfitani
282,Mineirão
283,Arena da Baixada
285,Serejão
287,Estádio Major Antônio Couto Pereira
288,Orlando Scarpelli
289,Maracanã
290,Maracanã
291,Arena Castelão
292,Serra Dourada
293,Beira Rio
294,Alfredo Jaconi
295,Allianz Parque
296,Durival de Britto
297,Mangueirão
298,Moisés Lucarelli
299,Vila Belmiro
300,Anacleto Campanella
301,Morumbi
302,Estádio São Januário
303,François-Coty
304,Abbé-Deschamps
305,Armand-Cesari-Furiani
307,Michel d'Ornano
308,Parsemain
309,Bollaert-Delelis
311,Vélodrome
312,Saint-Symphorien
313,Louis II
314,La Beaujoire
316,Parc des Princes
317,Roazhon Park
318,Geoffroy-Guichard
319,Auguste-Bonal
320,Stade de la Meinau
321,Stadium Municipal
322,Stade de la Licorne
323,Stade Raymond Kopa
324,Francis-Le Bié
325,Gaston-Petit
326,Gabriel-Montpied
327,Dominique-Duvauchelle
328,Gaston-Gérard
329,Stade des Alpes
330,Jean-Laville
331,Roudourou
332,Francis Le Basser
335,Moustoir
