ID,Name,ImageURL
1,FIFA World Cup,https://cdn.soccerwiki.org/images/logos/cups/1.png
2,FA Cup,https://cdn.soccerwiki.org/images/logos/cups/2.png
3,League Cup,https://cdn.soccerwiki.org/images/logos/cups/3.png
5,Coppa Italia,https://cdn.soccerwiki.org/images/logos/cups/5.png
7,Taça da Liga,https://cdn.soccerwiki.org/images/logos/cups/7.png
8,Football League Trophy,https://cdn.soccerwiki.org/images/logos/cups/8.jpg
9,Copa do Brasil,https://cdn.soccerwiki.org/images/logos/cups/9.png
10,FIFA Club World Cup,https://cdn.soccerwiki.org/images/logos/cups/10.png
11,Türkiye Kupası,https://cdn.soccerwiki.org/images/logos/cups/11.jpg
12,Taça de Portugal,https://cdn.soccerwiki.org/images/logos/cups/12.jpg
13,European Championship,https://cdn.soccerwiki.org/images/logos/cups/13.png
14,Emperor's Cup,https://cdn.soccerwiki.org/images/logos/cups/14.png
15,Malaysia Cup,https://cdn.soccerwiki.org/images/logos/cups/15.png
16,Albanian Cup,https://cdn.soccerwiki.org/images/logos/cups/16.jpg
17,Greek Cup,https://cdn.soccerwiki.org/images/logos/cups/17.jpg
18,Cupa României,https://cdn.soccerwiki.org/images/logos/cups/18.png
19,Armenian Independence Cup,
20,Coupe de la Ligue,https://cdn.soccerwiki.org/images/logos/cups/20_1353694311.jpg
21,Irish Cup,https://cdn.soccerwiki.org/images/logos/cups/21.jpg
22,Coppa Titano,https://cdn.soccerwiki.org/images/logos/cups/22_1346953702.jpg
23,Copa del Rey,https://cdn.soccerwiki.org/images/logos/cups/23.png
24,Coupe de France,https://cdn.soccerwiki.org/images/logos/cups/24.png
25,FIFA Confederations Cup,https://cdn.soccerwiki.org/images/logos/cups/25.png
26,National Football Challenge Cup,https://cdn.soccerwiki.org/images/logos/cups/26.jpg
27,Hrvatski Nogometni Kup,https://cdn.soccerwiki.org/images/logos/cups/27.jpg
28,Copa Libertadores,https://cdn.soccerwiki.org/images/logos/cups/28.png
29,Kup Srbije,https://cdn.soccerwiki.org/images/logos/cups/29.png
30,UEFA Champions League,https://cdn.soccerwiki.org/images/logos/cups/30.png
31,Super Cup,https://cdn.soccerwiki.org/images/logos/cups/31.jpg
32,Copa Argentina,https://cdn.soccerwiki.org/images/logos/cups/32.png
33,Lietuvos futbolo taurė,https://cdn.soccerwiki.org/images/logos/cups/33.png
34,AFC Cup,https://cdn.soccerwiki.org/images/logos/cups/34.png
35,Copa Perú,https://cdn.soccerwiki.org/images/logos/cups/35.png
36,Scottish Cup,https://cdn.soccerwiki.org/images/logos/cups/36.jpg
37,AFC Asian Cup,https://cdn.soccerwiki.org/images/logos/cups/37.png
38,KNVB-Beker,https://cdn.soccerwiki.org/images/logos/cups/38.jpg
39,Copa América,https://cdn.soccerwiki.org/images/logos/cups/39.png
40,Supercupa României,https://cdn.soccerwiki.org/images/logos/cups/40.png
41,Africa Cup of Nations,https://cdn.soccerwiki.org/images/logos/cups/41.png
42,DFB Pokal,https://cdn.soccerwiki.org/images/logos/cups/42.png
43,Copa Colombia,https://cdn.soccerwiki.org/images/logos/cups/43.png
44,Kup Srbije,https://cdn.soccerwiki.org/images/logos/cups/44.png
45,Puchar Polski,https://cdn.soccerwiki.org/images/logos/cups/45.jpg
46,KNVB Cup,https://cdn.soccerwiki.org/images/logos/cups/46.png
47,United Football League Cup,https://cdn.soccerwiki.org/images/logos/cups/47_1353615375.jpg
48,Magyar Kupa,https://cdn.soccerwiki.org/images/logos/cups/48.jpg
49,Copa Venezuela,https://cdn.soccerwiki.org/images/logos/cups/49.jpg
50,Bangladesh Federation Cup,https://cdn.soccerwiki.org/images/logos/cups/50.jpg
51,Bulgarian Cup,https://cdn.soccerwiki.org/images/logos/cups/51.png
52,European U-21 Championship,https://cdn.soccerwiki.org/images/logos/cups/52.png
53,Copa Chile  Coca-Cola Sin Azúcar,https://cdn.soccerwiki.org/images/logos/cups/53.png
54,Slovenian Football Cup,https://cdn.soccerwiki.org/images/logos/cups/54_1337760003.jpg
55,FA Trophy,https://cdn.soccerwiki.org/images/logos/cups/55.jpg
56,Superliga Colombia,https://cdn.soccerwiki.org/images/logos/cups/56.png
57,Piala Indonesia,https://cdn.soccerwiki.org/images/logos/cups/57.png
58,Belgian Cup,https://cdn.soccerwiki.org/images/logos/cups/58.jpg
59,Kubok Rossii,https://cdn.soccerwiki.org/images/logos/cups/59.jpg
60,Finnish Cup,https://cdn.soccerwiki.org/images/logos/cups/60.jpg
61,ÖFB-Cup,https://cdn.soccerwiki.org/images/logos/cups/61.jpg
62,Copa Constitució,https://cdn.soccerwiki.org/images/logos/cups/62.png
63,FA Cup Malaysia,https://cdn.soccerwiki.org/images/logos/cups/63.png
64,Coupe du Trône,https://cdn.soccerwiki.org/images/logos/cups/64_1338278404.jpg
65,DBU Pokalen,https://cdn.soccerwiki.org/images/logos/cups/65_1343141645.jpg
66,Copa Federación,https://cdn.soccerwiki.org/images/logos/cups/66_1343384665.jpg
67,Taça de Angola,https://cdn.soccerwiki.org/images/logos/cups/67.jpg
68,Coupe d'Algérie,https://cdn.soccerwiki.org/images/logos/cups/68.jpg
69,Libyan League Cup,
70,Svenska Cupen,https://cdn.soccerwiki.org/images/logos/cups/70_1362128402.jpg
71,J. League Cup,https://cdn.soccerwiki.org/images/logos/cups/71.png
72,JFF Champions Cup,https://cdn.soccerwiki.org/images/logos/cups/72.jpg
73,Slovenský Pohár,https://cdn.soccerwiki.org/images/logos/cups/73.jpg
74,Swiss Cup,https://cdn.soccerwiki.org/images/logos/cups/74.jpg
75,Jordan FA Cup,
76,Egypt Cup,https://cdn.soccerwiki.org/images/logos/cups/76.jpg
77,Superpuchar Polski,https://cdn.soccerwiki.org/images/logos/cups/77_1340870403.jpg
78,Copa Sudamericana,https://cdn.soccerwiki.org/images/logos/cups/78.png
79,Welsh Cup,https://cdn.soccerwiki.org/images/logos/cups/79.jpg
80,Supercoppa Italiana,https://cdn.soccerwiki.org/images/logos/cups/80.png
81,Kup Crne Gore,https://cdn.soccerwiki.org/images/logos/cups/81.jpg
82,Chinese FA Cup,https://cdn.soccerwiki.org/images/logos/cups/82.png
83,NM i Fotball,https://cdn.soccerwiki.org/images/logos/cups/83.jpg
84,Cameroonian Cup,
85,Cypriot Cup,https://cdn.soccerwiki.org/images/logos/cups/85.png
86,Singapore Cup,https://cdn.soccerwiki.org/images/logos/cups/86.jpg
87,Copa MX,https://cdn.soccerwiki.org/images/logos/cups/87.png
88,Supertaça Candido de Oliveira,https://cdn.soccerwiki.org/images/logos/cups/88.jpg
89,AFF Cup,https://cdn.soccerwiki.org/images/logos/cups/89.png
90,Cupa Ligii,https://cdn.soccerwiki.org/images/logos/cups/90.jpg
91,Kup na Makedonija,https://cdn.soccerwiki.org/images/logos/cups/91.png
92,DFL-Supercup,https://cdn.soccerwiki.org/images/logos/cups/92.png
