ID,Name,ImageURL
1,Kategoria Superiore,https://cdn.soccerwiki.org/images/logos/leagues/1.png
2,Primera División,https://cdn.soccerwiki.org/images/logos/leagues/2.png
3,Primera B Nacional A,https://cdn.soccerwiki.org/images/logos/leagues/3.png
4,Armenian Premier League,https://cdn.soccerwiki.org/images/logos/leagues/4.png
5,A-League,https://cdn.soccerwiki.org/images/logos/leagues/5.png
6,Bundesliga,https://cdn.soccerwiki.org/images/logos/leagues/6.png
7,Erste Liga,https://cdn.soccerwiki.org/images/logos/leagues/7_1351333376.jpg
8,Azərbaycan Premyer Liqası,https://cdn.soccerwiki.org/images/logos/leagues/8.png
9,Vysshaya Liga,https://cdn.soccerwiki.org/images/logos/leagues/9.png
10,Pro League,https://cdn.soccerwiki.org/images/logos/leagues/10.png
11,Challenger Pro League,https://cdn.soccerwiki.org/images/logos/leagues/11.jpg
12,Liga de Fútbol Profesional Boliviano,https://cdn.soccerwiki.org/images/logos/leagues/12.png
13,Premier Liga BiH,https://cdn.soccerwiki.org/images/logos/leagues/13.png
14,Brasileirão Série A,https://cdn.soccerwiki.org/images/logos/leagues/14.png
15,Brasilerão Série B,https://cdn.soccerwiki.org/images/logos/leagues/15.png
16,Parva Liga,https://cdn.soccerwiki.org/images/logos/leagues/16.png
17,Liga de Primera,https://cdn.soccerwiki.org/images/logos/leagues/17.png
18,Super League,https://cdn.soccerwiki.org/images/logos/leagues/18.png
19,Liga BetPlay Dimayor,https://cdn.soccerwiki.org/images/logos/leagues/19.png
20,Primera División,https://cdn.soccerwiki.org/images/logos/leagues/20.png
21,1.HNL,https://cdn.soccerwiki.org/images/logos/leagues/21.png
22,A Katigoria,https://cdn.soccerwiki.org/images/logos/leagues/22.png
23,B Katigoria,https://cdn.soccerwiki.org/images/logos/leagues/23.png
24,1.Liga,https://cdn.soccerwiki.org/images/logos/leagues/24.png
25,Superliga,https://cdn.soccerwiki.org/images/logos/leagues/25.png
26,1. Division,https://cdn.soccerwiki.org/images/logos/leagues/26.jpg
27,Liga Pro Ecuador Serie A,https://cdn.soccerwiki.org/images/logos/leagues/27.png
28,Premier League,https://cdn.soccerwiki.org/images/logos/leagues/28.png
29,Football League Championship,https://cdn.soccerwiki.org/images/logos/leagues/29.png
30,Football League One,https://cdn.soccerwiki.org/images/logos/leagues/30.png
31,Football League Two,https://cdn.soccerwiki.org/images/logos/leagues/31.png
32,National League,https://cdn.soccerwiki.org/images/logos/leagues/32.png
33,Meistriliiga,https://cdn.soccerwiki.org/images/logos/leagues/33.png
34,1. MFL,https://cdn.soccerwiki.org/images/logos/leagues/34.png
35,Veikkausliiga,https://cdn.soccerwiki.org/images/logos/leagues/35.png
36,Ligue 1,https://cdn.soccerwiki.org/images/logos/leagues/36.png
37,Ligue 2,https://cdn.soccerwiki.org/images/logos/leagues/37.png
38,Championnat National,https://cdn.soccerwiki.org/images/logos/leagues/38.png
